매체,소재,지출(만원),CTR,후기작성 전환 수,후기작성 CPA(원),후기작성 평가,단골맺기 전환 수,단골맺기 CPA(원),단골맺기 평가
Google ACe,2modeldangol,144,0.6%,3004,479원,고효율,2225,647원,고효율
Google ACe,당근제작_단골맺기,322,0.7%,4654,693원,고효율,4891,659원,고효율
Google ACe,신혼부부,28,1.1%,141,"2,020원",고효율,78,"3,653원",고효율
Google ACe,단골혜택A,18,1.7%,77,"2,453원",고효율,59,"3,201원",고효율
Google ACe,단골혜택,17,1.8%,66,"2,680원",고효율,62,"2,852원",고효율
Google ACe,단골혜택A-1,355,1.1%,1158,"3,067원",고효율,996,"3,567원",고효율
Google ACe,단골혜택B,27,1.4%,81,"3,392원",고효율,74,"3,713원",고효율
토스 리스트배너,단골혜택,3,8.3%,9,"3,473원",고효율,7,"4,465원",고효율
몰로코,단골혜택,336,11.1%,915,"3,681원",고효율,570,"5,910원",고효율
토스 리스트배너,신혼부부,3,10.1%,9,"3,827원",고효율,4,"8,612원",고효율
몰로코,2modeldangol,604,3.0%,1370,"4,413원",고효율,1128,"5,360원",고효율
토스 리스트배너,당근제작_단골맺기,4,8.1%,8,"5,599원",고효율,9,"4,977원",고효율
몰로코,4graphicdangol,497,3.4%,739,"6,733원",고효율,490,"10,155원",고효율
몰로코,신혼부부,92,6.0%,119,"7,775원",고효율,93,"9,949원",고효율
몰로코,당근제작_단골맺기,292,10.7%,362,"8,084원",고효율,342,"8,556원",고효율
네이버GFA 커뮤니케이션AD,4graphicdangol,127,—,151,"8,431원",고효율,0,—,전환없음
Google ACe,4graphicdangol,44,0.9%,52,"8,491원",고효율,41,"10,769원",고효율
Meta,4graphicdangol,6,0.6%,5,"12,872원",보통,0,—,전환없음
네이버GFA 커뮤니케이션AD,2modeldangol,92,—,48,"19,315원",보통,0,—,전환없음
토스 리스트배너,4graphicdangol,391,4.4%,147,"26,642원",보통,127,"30,838원",보통
Google DG,4graphicdangol,730,3.1%,257,"28,428원",보통,137,"53,329원",보통
Google DG,신혼부부,183,4.2%,61,"30,034원",보통,50,"36,642원",보통
Google DG,당근제작_단골맺기,277,4.3%,70,"39,628원",보통,72,"38,527원",보통
Google DG,2modeldangol,642,3.8%,136,"47,267원",보통,100,"64,283원",보통
Google DG,단골혜택,285,4.5%,58,"49,150원",보통,54,"52,791원",보통
토스 리스트배너,2modeldangol,77,2.8%,5,"154,833원",비효율,11,"70,378원",보통
Google DG,단골혜택A-1,52,21.6%,3,"173,807원",비효율,0,—,전환없음
Meta,단골혜택B,928,1.6%,45,"206,414원",비효율,50,"185,773원",비효율
Google DG,단골혜택A,23,19.9%,1,"233,037원",비효율,0,—,전환없음
Meta,신혼부부,65,1.4%,2,"328,121원",비효율,1,"656,243원",비효율
Google DG,단골혜택B,27,25.5%,0,—,전환없음,18,"15,067원",보통
Meta,2modeldangol,11,0.6%,0,—,전환없음,0,—,전환없음
Meta,단골혜택A,6,0.6%,0,—,전환없음,0,—,전환없음
Meta,단골혜택A-1,4,0.7%,0,—,전환없음,0,—,전환없음
Meta,당근제작_단골맺기,5,0.9%,0,—,전환없음,3,"17,871원",보통
