매체,소재,지출(만원),CTR,후기작성 전환 수,후기작성 CPA(원),후기작성 평가,단골맺기 전환 수,단골맺기 CPA(원),단골맺기 평가
Google ACe,학원 2_edu,196,1.1%,6654,294원,고효율,10395,188원,고효율
Google ACe,뷰티 3_네일,54,0.6%,639,851원,고효율,398,"1,367원",고효율
Google ACe,뷰티 1_Full,512,1.1%,5971,858원,고효율,4685,"1,093원",고효율
Google ACe,건강 3_필라테스,89,0.6%,974,917원,고효율,1842,485원,고효율
Google ACe,건강 1_Full,43,0.5%,463,949원,고효율,896,490원,고효율
Google ACe,건강 4_골프,254,0.8%,2616,974원,고효율,1812,"1,406원",고효율
Google ACe,건강 2_PT,26,0.7%,257,"1,034원",고효율,119,"2,233원",고효율
Google ACe,review100,47,0.9%,426,"1,126원",고효율,229,"2,095원",고효율
Google ACe,3graphicreview,315,0.9%,2595,"1,217원",고효율,2045,"1,544원",고효율
Google ACe,학원 1_Full,45,0.8%,281,"1,634원",고효율,650,706원,고효율
몰로코,도윤고백,172,18.4%,641,"2,685원",고효율,484,"3,556원",고효율
몰로코,3graphicreview,859,4.6%,2772,"3,100원",고효율,1957,"4,391원",고효율
Google ACe,1modelreview,43,1.3%,123,"3,549원",고효율,81,"5,390원",고효율
Google ACe,테토남,16,1.2%,43,"3,860원",고효율,21,"7,905원",고효율
몰로코,뷰티 4_속눈썹,131,2.9%,309,"4,253원",고효율,74,"17,762원",보통
Google ACe,학원 3_tuition,19,1.1%,45,"4,256원",고효율,97,"1,974원",고효율
Google ACe,KPI연동_후기,16,1.3%,38,"4,268원",고효율,25,"6,487원",고효율
Google ACe,뷰티 4_속눈썹,29,0.8%,68,"4,373원",고효율,46,"6,464원",고효율
몰로코,학원 3_tuition,37,2.8%,78,"4,776원",고효율,32,"11,642원",고효율
몰로코,1modelreview,467,6.3%,976,"4,792원",고효율,619,"7,557원",고효율
몰로코,건강 1_Full,97,4.1%,172,"5,655원",고효율,40,"24,318원",보통
Google ACe,KPI연동_후기A,11,1.7%,19,"5,832원",고효율,14,"7,915원",고효율
몰로코,뷰티 2_헤어,173,2.9%,288,"6,016원",고효율,176,"9,845원",고효율
몰로코,review100,133,6.4%,206,"6,471원",고효율,120,"11,108원",고효율
Google ACe,KPI연동_후기B,13,2.1%,20,"6,722원",고효율,9,"14,938원",고효율
Meta,건강 1_Full,85,1.6%,125,"6,873원",고효율,21,"40,915원",보통
Meta,뷰티 5_스킨,49,1.7%,72,"6,912원",고효율,26,"19,141원",보통
Google ACe,KPI연동_후기A-1,30,1.1%,42,"7,209원",고효율,29,"10,440원",고효율
몰로코,테토남,310,13.0%,428,"7,264원",고효율,351,"8,858원",고효율
네이버GFA 커뮤니케이션AD,3graphicreview,194,—,248,"7,825원",고효율,5,"388,157원",비효율
Meta,건강 3_필라테스,36,1.3%,44,"8,217원",고효율,34,"10,634원",고효율
Google ACe,뷰티 2_헤어,3,0.7%,4,"8,391원",고효율,3,"11,188원",고효율
Google ACe,뷰티 5_스킨,1,0.8%,1,"10,015원",보통,0,—,전환없음
몰로코,뷰티 1_Full,87,3.2%,86,"10,224원",보통,75,"11,724원",고효율
Meta,뷰티 4_속눈썹,24,1.1%,23,"10,485원",보통,4,"60,291원",보통
Google ACe,도윤고백,25,0.9%,24,"10,693원",보통,229,"1,120원",고효율
토스 리스트배너,테토남,20,3.1%,19,"10,706원",보통,4,"50,855원",보통
Meta,뷰티 2_헤어,5,1.0%,5,"11,059원",보통,0,—,전환없음
몰로코,학원 2_edu,33,3.3%,27,"12,574원",보통,11,"30,865원",보통
Meta,뷰티 3_네일,14,1.2%,11,"13,055원",보통,8,"17,951원",보통
네이버GFA 커뮤니케이션AD,3graphicreview_헬스,23,—,17,"13,744원",보통,0,—,전환없음
네이버GFA 커뮤니케이션AD,3graphicreview_뷰티,53,—,38,"14,062원",보통,0,—,전환없음
몰로코,뷰티 5_스킨,92,2.8%,65,"14,294원",보통,16,"58,072원",보통
네이버GFA 커뮤니케이션AD,뷰티 1_Full,28,—,19,"15,013원",보통,1,"285,260원",비효율
몰로코,뷰티 3_네일,33,2.5%,22,"15,014원",보통,9,"36,701원",보통
토스 리스트배너,review100,37,3.6%,24,"15,492원",보통,9,"41,313원",보통
Meta,건강 2_PT,134,0.8%,86,"15,640원",보통,32,"42,034원",보통
Meta,건강 4_골프,65,1.1%,38,"17,353원",보통,27,"24,422원",보통
Meta,학원 1_Full,10,0.5%,5,"21,020원",보통,2,"52,550원",보통
Google DG,뷰티 3_네일,287,1.3%,136,"21,147원",보통,80,"35,950원",보통
네이버GFA 커뮤니케이션AD,뷰티 4_속눈썹,34,—,16,"21,593원",보통,2,"172,744원",비효율
Google DG,뷰티 1_Full,106,2.0%,47,"22,715원",보통,27,"39,541원",보통
몰로코,건강 2_PT,84,2.6%,37,"22,730원",보통,16,"52,564원",보통
몰로코,학원 1_Full,36,3.0%,16,"22,751원",보통,10,"36,402원",보통
몰로코,건강 3_필라테스,151,3.1%,66,"22,967원",보통,56,"27,068원",보통
몰로코,건강 4_골프,94,2.2%,37,"25,656원",보통,19,"49,963원",보통
Meta,3graphicreview,70,0.7%,25,"28,176원",보통,9,"78,267원",보통
몰로코,KPI연동_후기,460,7.9%,130,"35,416원",보통,132,"34,879원",보통
Google DG,KPI연동_후기,526,2.0%,148,"35,580원",보통,128,"41,140원",보통
토스 리스트배너,도윤고백,33,2.0%,9,"37,349원",보통,2,"168,070원",비효율
네이버GFA 커뮤니케이션AD,건강 4_골프,23,—,6,"38,542원",보통,0,—,전환없음
Google DG,뷰티 2_헤어,30,3.0%,7,"43,946원",보통,0,—,전환없음
Google DG,3graphicreview,"2,146",2.4%,462,"46,460원",보통,606,"35,420원",보통
토스 리스트배너,3graphicreview,379,3.0%,80,"47,490원",보통,45,"84,427원",비효율
토스 리스트배너,KPI연동_후기,20,3.0%,4,"50,231원",보통,2,"100,462원",비효율
토스 리스트배너,뷰티 1_Full,46,4.6%,9,"51,663원",보통,1,"464,970원",비효율
네이버GFA 커뮤니케이션AD,건강 2_PT,21,—,4,"53,200원",보통,0,—,전환없음
토스 리스트배너,건강 3_필라테스,50,5.1%,9,"55,750원",보통,1,"501,750원",비효율
토스 리스트배너,뷰티 4_속눈썹,51,5.5%,9,"56,817원",보통,7,"73,050원",보통
Google DG,테토남,320,2.6%,56,"57,217원",보통,70,"45,773원",보통
